attack_technique_id,attack_technique,mitigation_id,mitigation,mitigation_desc,controls
T1008,Fallback Channels,CM1151,Defend Enclave Boundaries,Maintain distinct enclaves based on security characteristics and use stringent filtering to defend the enclave boundary.,AC-4(12) | AC-4(17) | AC-4(21) | AC-4(8) | SC-7(21) | SC-7(22)
T1008,Fallback Channels,CM2002,Inspect and Analyze Network Traffic,Analyze network traffic for unusual data flows. Traffic inspection and analysis can be performed at the enterprise boundary at internal boundaries between enclaves or within enclaves.,AC-2(12) | AU-6 | IR-4(13) | SI-4(10) | SI-4(18) | SI-4(2) | SI-4(4)
T1008,Fallback Channels,CM2041,Analyze Network Traffic Content,Analyze the contents of network traffic.,IR-4(13) | SI-4(10) | SI-4(25)
T1010,Application Window Discovery,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1010,Application Window Discovery,CM2020,Application- or Utility-Specific Monitoring,Monitor and analyze events in the context of a specific application or utility.,IR-4(13) | SI-4(2)
T1011,Exfiltration Over Other Network Medium,CM1112,Covert Signaling,Use hidden logic to enable exfiltrated data to signal its location or embed hidden data that can be the subject of a search.,SI-20
T1011,Exfiltration Over Other Network Medium,CM1113,Present Decoy Data,Present plausible but factitious data assets to attract the adversary. Monitor uses of those assets or search for the presence of decoy information.,SC-26 | SC-30(4) | SI-20
T1011,Exfiltration Over Other Network Medium,CM1114,Fragment Information,Fragment information and distribute it across multiple locations.,SI-23
T1011,Exfiltration Over Other Network Medium,CM1127,Minimize Duration of Connection or Session,Minimize the time period for which a connection remains open or a session remains active requiring reauthorization to reestablish connectivity.,AC-12 | SC-10 | SC-7(10) | SI-14(3)
T1011,Exfiltration Over Other Network Medium,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1011,Exfiltration Over Other Network Medium,CM2035,Monitor Specific Files,Monitor the use of specific files or directories for anomalous or suspicious uses or access attempts.,AU-6
T1012,Query Registry,CM1101,Present Deceptive Information,Present deceptive information about systems data processes and users. Monitor uses or search for presence of that information.,SC-30(4) | SI-20
T1012,Query Registry,CM1115,Lock Down Thin Nodes,Minimize local functionality and disallow writable storage.,SC-25 | SC-34 | SC-34(1)
T1012,Query Registry,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1014,Rootkit,CM1102,Maintain Deception Environment,Maintain a distinct subsystem or a set of components specifically designed to be the target of malicious attacks for detecting deflecting and analyzing such attacks.,SC-26 | SC-30(4) | SC-7(21)
T1014,Rootkit,CM1164,Calibrate Administrative Access,Configure administrator access to resources based on active defense strategies.,AC-6 | AC-6(5) | CM-7(2)
T1014,Rootkit,CM2044,Monitor Platform Status,Monitor the status of platforms (e.g. user endpoints servers network devices).,IR-4(13) | SI-4(2)
T1016,System Network Configuration Discovery,CM1101,Present Deceptive Information,Present deceptive information about systems data processes and users. Monitor uses or search for presence of that information.,SC-30(4) | SI-20
T1016,System Network Configuration Discovery,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1018,Remote System Discovery,CM1104,Passive Decoys,Use a factitious system or resource to decoy adversary attacks away from operational resources to increase the adversary's workload or to observe adversary activities.,SC-26 | SC-29
T1018,Remote System Discovery,CM1160,Conceal Resources from Discovery,Protect the network addresses of system components that are part of managed interfaces from discovery through common tools and techniques such as hiding or relocation.,SC-28(1) | SC-30 | SC-30(5) | SC-7(16)
T1018,Remote System Discovery,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1020,Automated Exfiltration,CM1107,Adversarial Simulation,Simulate adversary activities to test the effectiveness of system protections and detection mechanisms.,AT-2(1) | AT-3(3) | CA-8 | CA-8(2) | SC-7(10) | SI-19(8)
T1020,Automated Exfiltration,CM1112,Covert Signaling,Use hidden logic to enable exfiltrated data to signal its location or embed hidden data that can be the subject of a search.,SI-20
T1020,Automated Exfiltration,CM1113,Present Decoy Data,Present plausible but factitious data assets to attract the adversary. Monitor uses of those assets or search for the presence of decoy information.,SC-26 | SC-30(4) | SI-20
T1020,Automated Exfiltration,CM1114,Fragment Information,Fragment information and distribute it across multiple locations.,SI-23
T1020,Automated Exfiltration,CM1153,Modulate Information Flows,Use controlled interfaces and communication paths to provide access to risky capabilities or filter communications between enclaves.,AC-4(27) | AC-4(29) | AC-4(30) | SC-46 | SC-7(15)
T1020,Automated Exfiltration,CM2002,Inspect and Analyze Network Traffic,Analyze network traffic for unusual data flows. Traffic inspection and analysis can be performed at the enterprise boundary at internal boundaries between enclaves or within enclaves.,AC-2(12) | AU-6 | IR-4(13) | SI-4(10) | SI-4(18) | SI-4(2) | SI-4(4)
T1020,Automated Exfiltration,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1021,Remote Services,CM1102,Maintain Deception Environment,Maintain a distinct subsystem or a set of components specifically designed to be the target of malicious attacks for detecting deflecting and analyzing such attacks.,SC-26 | SC-30(4) | SC-7(21)
T1021,Remote Services,CM1108,Dynamically Restrict Traffic or Isolate Resources,Dynamically reconfigure networks to restrict network traffic or isolate resources.,AU-5(3) | IR-4(2) | SC-7(20)
T1021,Remote Services,CM1153,Modulate Information Flows,Use controlled interfaces and communication paths to provide access to risky capabilities or filter communications between enclaves.,AC-4(27) | AC-4(29) | AC-4(30) | SC-46 | SC-7(15)
T1021,Remote Services,CM2018,Cross-Enterprise Behavior Analysis,Correlate and analyze the behavior of multiple systems.,AU-6(3) | AU-6(5)
T1025,Data from Removable Media,CM1119,Minimize Local Functionality,Construct or configure systems or applications to minimize their inherent functionality.,CM-7(2) | SC-25
T1025,Data from Removable Media,CM1121,Dynamically Disable or Suspend,Terminate processes or disable capabilities upon triggering conditions.,AC-2(8) | SC-15(1)
T1025,Data from Removable Media,CM2020,Application- or Utility-Specific Monitoring,Monitor and analyze events in the context of a specific application or utility.,IR-4(13) | SI-4(2)
T1025,Data from Removable Media,CM2038,Monitor Command Line Use,Monitor command line interface use for common utilities (part of the system or installed by an adversary) and suspicious behavior.,IR-4(13) | SI-4(13) | SI-4(2) | SI-4(4)
T1027,Obfuscated Files or Information,CM1103,Detonation Chamber,Use a dynamic execution environment to handle potentially harmful incoming data.,SC-44
T1027,Obfuscated Files or Information,CM1110,Application- or Utility-Specific Data Removal,Analyze files and data structures specific to an application or utility for anomalies and delete them.,IR-4(13) | IR-4(2) | SI-4(2) | SI-7(1) | SI-7(7)
T1027,Obfuscated Files or Information,CM2038,Monitor Command Line Use,Monitor command line interface use for common utilities (part of the system or installed by an adversary) and suspicious behavior.,IR-4(13) | SI-4(13) | SI-4(2) | SI-4(4)
T1029,Scheduled Transfer,CM1112,Covert Signaling,Use hidden logic to enable exfiltrated data to signal its location or embed hidden data that can be the subject of a search.,SI-20
T1029,Scheduled Transfer,CM1113,Present Decoy Data,Present plausible but factitious data assets to attract the adversary. Monitor uses of those assets or search for the presence of decoy information.,SC-26 | SC-30(4) | SI-20
T1029,Scheduled Transfer,CM1114,Fragment Information,Fragment information and distribute it across multiple locations.,SI-23
T1029,Scheduled Transfer,CM1153,Modulate Information Flows,Use controlled interfaces and communication paths to provide access to risky capabilities or filter communications between enclaves.,AC-4(27) | AC-4(29) | AC-4(30) | SC-46 | SC-7(15)
T1029,Scheduled Transfer,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1029,Scheduled Transfer,CM2042,Analyze Outgoing Traffic Patterns,Analyze outgoing traffic for patterns of behavior that indicate adversary communications.,IR-4(13) | SI-4(18)
T1030,Data Transfer Size Limits,CM1112,Covert Signaling,Use hidden logic to enable exfiltrated data to signal its location or embed hidden data that can be the subject of a search.,SI-20
T1030,Data Transfer Size Limits,CM1113,Present Decoy Data,Present plausible but factitious data assets to attract the adversary. Monitor uses of those assets or search for the presence of decoy information.,SC-26 | SC-30(4) | SI-20
T1030,Data Transfer Size Limits,CM1114,Fragment Information,Fragment information and distribute it across multiple locations.,SI-23
T1030,Data Transfer Size Limits,CM2041,Analyze Network Traffic Content,Analyze the contents of network traffic.,IR-4(13) | SI-4(10) | SI-4(25)
T1030,Data Transfer Size Limits,CM2042,Analyze Outgoing Traffic Patterns,Analyze outgoing traffic for patterns of behavior that indicate adversary communications.,IR-4(13) | SI-4(18)
T1030,Data Transfer Size Limits,CM2047,Monitor Network Usage,Monitor network usage for anomalous behavior.,IR-4(13) | SI-4(11) | SI-4(13)
T1033,System Owner/User Discovery,CM1101,Present Deceptive Information,Present deceptive information about systems data processes and users. Monitor uses or search for presence of that information.,SC-30(4) | SI-20
T1033,System Owner/User Discovery,CM1115,Lock Down Thin Nodes,Minimize local functionality and disallow writable storage.,SC-25 | SC-34 | SC-34(1)
T1033,System Owner/User Discovery,CM1127,Minimize Duration of Connection or Session,Minimize the time period for which a connection remains open or a session remains active requiring reauthorization to reestablish connectivity.,AC-12 | SC-10 | SC-7(10) | SI-14(3)
T1033,System Owner/User Discovery,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1036,Masquerading,CM1102,Maintain Deception Environment,Maintain a distinct subsystem or a set of components specifically designed to be the target of malicious attacks for detecting deflecting and analyzing such attacks.,SC-26 | SC-30(4) | SC-7(21)
T1036,Masquerading,CM2033,Monitor the File System,Monitor the file system to identify the unexpected presence and atypical use of specific types of files or atypical patterns of access.,IR-4(13) | SI-4(2) | SI-4(24)
T1037,Boot or Logon Initialization Scripts,CM1104,Passive Decoys,Use a factitious system or resource to decoy adversary attacks away from operational resources to increase the adversary's workload or to observe adversary activities.,SC-26 | SC-29
T1037,Boot or Logon Initialization Scripts,CM1115,Lock Down Thin Nodes,Minimize local functionality and disallow writable storage.,SC-25 | SC-34 | SC-34(1)
T1037,Boot or Logon Initialization Scripts,CM1134,Refresh Selected Applications or Components,Refresh software firmware or data from a trusted source.,SI-14(1) | SI-14(2)
T1037,Boot or Logon Initialization Scripts,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1037,Boot or Logon Initialization Scripts,CM2029,Monitor Script Execution,Monitor for the execution of scripts that are unknown or used in suspicious ways.,IR-4(13) | SI-4(13) | SI-4(2)
T1037,Boot or Logon Initialization Scripts,CM2044,Monitor Platform Status,Monitor the status of platforms (e.g. user endpoints servers network devices).,IR-4(13) | SI-4(2)
T1039,Data from Network Shared Drive,CM1101,Present Deceptive Information,Present deceptive information about systems data processes and users. Monitor uses or search for presence of that information.,SC-30(4) | SI-20
T1039,Data from Network Shared Drive,CM1118,Partition Host,Partition a host (e.g. server endpoint system) into separate logical domains.,SC-2 | SC-2(1) | SC-32 | SC-32(1)
T1039,Data from Network Shared Drive,CM1127,Minimize Duration of Connection or Session,Minimize the time period for which a connection remains open or a session remains active requiring reauthorization to reestablish connectivity.,AC-12 | SC-10 | SC-7(10) | SI-14(3)
T1039,Data from Network Shared Drive,CM1135,Hide Sensitive Information,Conceal (e.g. via encryption or data hiding) or remove sensitive information (including metadata).,SC-28(1) | SI-19(4)
T1039,Data from Network Shared Drive,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1039,Data from Network Shared Drive,CM2033,Monitor the File System,Monitor the file system to identify the unexpected presence and atypical use of specific types of files or atypical patterns of access.,IR-4(13) | SI-4(2) | SI-4(24)
T1040,Network Sniffing,CM1101,Present Deceptive Information,Present deceptive information about systems data processes and users. Monitor uses or search for presence of that information.,SC-30(4) | SI-20
T1040,Network Sniffing,CM1126,Enhanced Authentication,Use situation-specific risk- adaptive or out-of-band authentication.,CP-13 | IA-10 | IA-2(13) | SC-47
T1040,Network Sniffing,CM1127,Minimize Duration of Connection or Session,Minimize the time period for which a connection remains open or a session remains active requiring reauthorization to reestablish connectivity.,AC-12 | SC-10 | SC-7(10) | SI-14(3)
T1040,Network Sniffing,CM1148,Conceal or Randomize Network Traffic,Conceal (via encryption or insertion of fabricated traffic) or randomize network traffic patterns.,SC-30 | SC-8(5)
T1040,Network Sniffing,CM2002,Inspect and Analyze Network Traffic,Analyze network traffic for unusual data flows. Traffic inspection and analysis can be performed at the enterprise boundary at internal boundaries between enclaves or within enclaves.,AC-2(12) | AU-6 | IR-4(13) | SI-4(10) | SI-4(18) | SI-4(2) | SI-4(4)
T1040,Network Sniffing,CM2017,Privileged Account Monitoring,Monitor and analyze activity associated with privileged accounts for indications of unusual or suspicious use.,AU-6(8)
T1041,Exfiltration Over C2 Channel,CM1112,Covert Signaling,Use hidden logic to enable exfiltrated data to signal its location or embed hidden data that can be the subject of a search.,SI-20
T1041,Exfiltration Over C2 Channel,CM1113,Present Decoy Data,Present plausible but factitious data assets to attract the adversary. Monitor uses of those assets or search for the presence of decoy information.,SC-26 | SC-30(4) | SI-20
T1041,Exfiltration Over C2 Channel,CM1114,Fragment Information,Fragment information and distribute it across multiple locations.,SI-23
T1041,Exfiltration Over C2 Channel,CM1127,Minimize Duration of Connection or Session,Minimize the time period for which a connection remains open or a session remains active requiring reauthorization to reestablish connectivity.,AC-12 | SC-10 | SC-7(10) | SI-14(3)
T1041,Exfiltration Over C2 Channel,CM2041,Analyze Network Traffic Content,Analyze the contents of network traffic.,IR-4(13) | SI-4(10) | SI-4(25)
T1041,Exfiltration Over C2 Channel,CM2042,Analyze Outgoing Traffic Patterns,Analyze outgoing traffic for patterns of behavior that indicate adversary communications.,IR-4(13) | SI-4(18)
T1041,Exfiltration Over C2 Channel,CM2047,Monitor Network Usage,Monitor network usage for anomalous behavior.,IR-4(13) | SI-4(11) | SI-4(13)
T1046,Network Service Scanning,CM1104,Passive Decoys,Use a factitious system or resource to decoy adversary attacks away from operational resources to increase the adversary's workload or to observe adversary activities.,SC-26 | SC-29
T1046,Network Service Scanning,CM2002,Inspect and Analyze Network Traffic,Analyze network traffic for unusual data flows. Traffic inspection and analysis can be performed at the enterprise boundary at internal boundaries between enclaves or within enclaves.,AC-2(12) | AU-6 | IR-4(13) | SI-4(10) | SI-4(18) | SI-4(2) | SI-4(4)
T1047,Windows Management Instrumentation,CM1131,Active Deception,Maintain an internal deception environment divert suspicious traffic to that environment and interact with and analyze behavior to determine whether it is malicious and whether to investigate adversary TTPs.,AC-4(3) | IR-4(2) | IR-4(3) | SC-26 | SC-30(4) | SC-7(21) | SI-3(10)
T1047,Windows Management Instrumentation,CM1164,Calibrate Administrative Access,Configure administrator access to resources based on active defense strategies.,AC-6 | AC-6(5) | CM-7(2)
T1047,Windows Management Instrumentation,CM2002,Inspect and Analyze Network Traffic,Analyze network traffic for unusual data flows. Traffic inspection and analysis can be performed at the enterprise boundary at internal boundaries between enclaves or within enclaves.,AC-2(12) | AU-6 | IR-4(13) | SI-4(10) | SI-4(18) | SI-4(2) | SI-4(4)
T1047,Windows Management Instrumentation,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1048,Exfiltration Over Alternative Protocol,CM1112,Covert Signaling,Use hidden logic to enable exfiltrated data to signal its location or embed hidden data that can be the subject of a search.,SI-20
T1048,Exfiltration Over Alternative Protocol,CM1113,Present Decoy Data,Present plausible but factitious data assets to attract the adversary. Monitor uses of those assets or search for the presence of decoy information.,SC-26 | SC-30(4) | SI-20
T1048,Exfiltration Over Alternative Protocol,CM1114,Fragment Information,Fragment information and distribute it across multiple locations.,SI-23
T1048,Exfiltration Over Alternative Protocol,CM2041,Analyze Network Traffic Content,Analyze the contents of network traffic.,IR-4(13) | SI-4(10) | SI-4(25)
T1048,Exfiltration Over Alternative Protocol,CM2042,Analyze Outgoing Traffic Patterns,Analyze outgoing traffic for patterns of behavior that indicate adversary communications.,IR-4(13) | SI-4(18)
T1049,System Network Connections Discovery,CM1160,Conceal Resources from Discovery,Protect the network addresses of system components that are part of managed interfaces from discovery through common tools and techniques such as hiding or relocation.,SC-28(1) | SC-30 | SC-30(5) | SC-7(16)
T1049,System Network Connections Discovery,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1052,Exfiltration Over Physical Medium,CM1112,Covert Signaling,Use hidden logic to enable exfiltrated data to signal its location or embed hidden data that can be the subject of a search.,SI-20
T1052,Exfiltration Over Physical Medium,CM1113,Present Decoy Data,Present plausible but factitious data assets to attract the adversary. Monitor uses of those assets or search for the presence of decoy information.,SC-26 | SC-30(4) | SI-20
T1052,Exfiltration Over Physical Medium,CM1114,Fragment Information,Fragment information and distribute it across multiple locations.,SI-23
T1052,Exfiltration Over Physical Medium,CM2007,Host Event Detection,Detect anomalous or unauthorized events on hosts (e.g. servers endpoint systems).,CM-8(3) | IR-4(13) | SI-4(2)
T1052,Exfiltration Over Physical Medium,CM2008,Removable Device Usage Detection,Detect anomalous or unauthorized events involving the use of removable devices.,CM-8(3)
T1053,Scheduled Task/Job,CM1104,Passive Decoys,Use a factitious system or resource to decoy adversary attacks away from operational resources to increase the adversary's workload or to observe adversary activities.,SC-26 | SC-29
T1053,Scheduled Task/Job,CM2004,Monitor Logs,Monitor system and application logs for anomalous or suspicious behavior.,AU-6 | IR-4(13) | SI-4(11) | SI-4(2)
T1053,Scheduled Task/Job,CM2035,Monitor Specific Files,Monitor the use of specific files or directories for anomalous or suspicious uses or access attempts.,AU-6
T1055,Process Injection,CM1150,Dynamically Relocate and Refresh Processing,Suspend a process and re- instantiate it in a different location.,SC-30(3) | SI-14(1)
T1055,Process Injection,CM1152,Defend Against Memory Attacks,Provide defenses against attacks against system memory.,SI-16
T1055,Process Injection,CM2007,Host Event Detection,Detect anomalous or unauthorized events on hosts (e.g. servers endpoint systems).,CM-8(3) | IR-4(13) | SI-4(2)
T1055,Process Injection,CM2014,Process Analysis,Analyze process attributes or behavior for indications of unusual unauthorized or suspicious use.,IR-4(13) | SI-4(2)
T1056,Input Capture,CM1101,Present Deceptive Information,Present deceptive information about systems data processes and users. Monitor uses or search for presence of that information.,SC-30(4) | SI-20
T1056,Input Capture,CM1120,Trusted Path,Provide an isolated communications path between the user and security functions.,SC-11
T1056,Input Capture,CM2005,Analyze Logs,Analyze logs (individually or with some correlation across logs) for anomalous or suspicious patterns of behavior.,AC-2(12) | SI-4(13) | SI-4(16)
T1056,Input Capture,CM2033,Monitor the File System,Monitor the file system to identify the unexpected presence and atypical use of specific types of files or atypical patterns of access.,IR-4(13) | SI-4(2) | SI-4(24)
T1057,Process Discovery,CM1115,Lock Down Thin Nodes,Minimize local functionality and disallow writable storage.,SC-25 | SC-34 | SC-34(1)
T1057,Process Discovery,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1059,Command and Scripting Interpreter,CM1119,Minimize Local Functionality,Construct or configure systems or applications to minimize their inherent functionality.,CM-7(2) | SC-25
T1059,Command and Scripting Interpreter,CM1131,Active Deception,Maintain an internal deception environment divert suspicious traffic to that environment and interact with and analyze behavior to determine whether it is malicious and whether to investigate adversary TTPs.,AC-4(3) | IR-4(2) | IR-4(3) | SC-26 | SC-30(4) | SC-7(21) | SI-3(10)
T1059,Command and Scripting Interpreter,CM1132,Quarantine or Delete Suspicious Files,Move and make inaccessible or delete suspicious files.,CM-7(6) | SI-14 | SI-14(2) | SR-4(3)
T1059,Command and Scripting Interpreter,CM2029,Monitor Script Execution,Monitor for the execution of scripts that are unknown or used in suspicious ways.,IR-4(13) | SI-4(13) | SI-4(2)
T1059,Command and Scripting Interpreter,CM2038,Monitor Command Line Use,Monitor command line interface use for common utilities (part of the system or installed by an adversary) and suspicious behavior.,IR-4(13) | SI-4(13) | SI-4(2) | SI-4(4)
T1068,Exploitation for Privilege Escalation,CM1101,Present Deceptive Information,Present deceptive information about systems data processes and users. Monitor uses or search for presence of that information.,SC-30(4) | SI-20
T1068,Exploitation for Privilege Escalation,CM1134,Refresh Selected Applications or Components,Refresh software firmware or data from a trusted source.,SI-14(1) | SI-14(2)
T1068,Exploitation for Privilege Escalation,CM2003,Endpoint Behavior Analysis,Analyze the behavior of endpoint (i.e. end-user client) systems for anomalous behavior.,AC-2(12)
T1069,Permission Groups Discovery,CM1101,Present Deceptive Information,Present deceptive information about systems data processes and users. Monitor uses or search for presence of that information.,SC-30(4) | SI-20
T1069,Permission Groups Discovery,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1070,Indicator Removal on Host,CM1104,Passive Decoys,Use a factitious system or resource to decoy adversary attacks away from operational resources to increase the adversary's workload or to observe adversary activities.,SC-26 | SC-29
T1070,Indicator Removal on Host,CM1158,Defend Audit Data,Provide mechanisms to protect audit data from modification or observation.,AU-9(1) | AU-9(2)
T1070,Indicator Removal on Host,CM2033,Monitor the File System,Monitor the file system to identify the unexpected presence and atypical use of specific types of files or atypical patterns of access.,IR-4(13) | SI-4(2) | SI-4(24)
T1071,Application Layer Protocol,CM1133,Isolate or Contain Selected Applications or Components,Isolate or contain (e.g. using internal firewalls or virtual environments) selected applications or components based on risk profiles.,CM-7(6) | SC-7(21)
T1071,Application Layer Protocol,CM1151,Defend Enclave Boundaries,Maintain distinct enclaves based on security characteristics and use stringent filtering to defend the enclave boundary.,AC-4(12) | AC-4(17) | AC-4(21) | AC-4(8) | SC-7(21) | SC-7(22)
T1071,Application Layer Protocol,CM1153,Modulate Information Flows,Use controlled interfaces and communication paths to provide access to risky capabilities or filter communications between enclaves.,AC-4(27) | AC-4(29) | AC-4(30) | SC-46 | SC-7(15)
T1071,Application Layer Protocol,CM2002,Inspect and Analyze Network Traffic,Analyze network traffic for unusual data flows. Traffic inspection and analysis can be performed at the enterprise boundary at internal boundaries between enclaves or within enclaves.,AC-2(12) | AU-6 | IR-4(13) | SI-4(10) | SI-4(18) | SI-4(2) | SI-4(4)
T1071,Application Layer Protocol,CM2041,Analyze Network Traffic Content,Analyze the contents of network traffic.,IR-4(13) | SI-4(10) | SI-4(25)
T1072,Software Deployment Tools,CM1131,Active Deception,Maintain an internal deception environment divert suspicious traffic to that environment and interact with and analyze behavior to determine whether it is malicious and whether to investigate adversary TTPs.,AC-4(3) | IR-4(2) | IR-4(3) | SC-26 | SC-30(4) | SC-7(21) | SI-3(10)
T1072,Software Deployment Tools,CM1133,Isolate or Contain Selected Applications or Components,Isolate or contain (e.g. using internal firewalls or virtual environments) selected applications or components based on risk profiles.,CM-7(6) | SC-7(21)
T1072,Software Deployment Tools,CM1134,Refresh Selected Applications or Components,Refresh software firmware or data from a trusted source.,SI-14(1) | SI-14(2)
T1072,Software Deployment Tools,CM2012,Monitor Trusted Parties,Monitor the behavior and status (e.g. change in ownership) of second or third parties.,PM-16 | PM-30(1) | SI-10(3) | SI-4(17)
T1072,Software Deployment Tools,CM2018,Cross-Enterprise Behavior Analysis,Correlate and analyze the behavior of multiple systems.,AU-6(3) | AU-6(5)
T1074,Data Staged,CM1112,Covert Signaling,Use hidden logic to enable exfiltrated data to signal its location or embed hidden data that can be the subject of a search.,SI-20
T1074,Data Staged,CM1116,Dynamic Data Location,Dynamically move data resources.,SC-30(3)
T1074,Data Staged,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1074,Data Staged,CM2020,Application- or Utility-Specific Monitoring,Monitor and analyze events in the context of a specific application or utility.,IR-4(13) | SI-4(2)
T1074,Data Staged,CM2033,Monitor the File System,Monitor the file system to identify the unexpected presence and atypical use of specific types of files or atypical patterns of access.,IR-4(13) | SI-4(2) | SI-4(24)
T1074,Data Staged,CM2038,Monitor Command Line Use,Monitor command line interface use for common utilities (part of the system or installed by an adversary) and suspicious behavior.,IR-4(13) | SI-4(13) | SI-4(2) | SI-4(4)
T1078,Valid Accounts,CM1101,Present Deceptive Information,Present deceptive information about systems data processes and users. Monitor uses or search for presence of that information.,SC-30(4) | SI-20
T1078,Valid Accounts,CM2013,Cross Enterprise Account Usage Analysis,Analyze user account usage across the enterprise for anomalies or suspicious behavior.,AU-6(3) | SI-4(16)
